Original_Tag	Matched_Column
CHAPMARKER	chapmarker
CHAP*	Chapter
CHAP*	chapepigraph
CHAP*	chapmarker
CHAP*	chaptitle
SCENE*	sceneaction
SCENE*	sceneaction_arrivaldeparture
SCENE*	sceneaction_auhorwe
SCENE*	sceneaction_authori
SCENE*	sceneaction_authorwe
SCENE*	sceneaction_backstory
SCENE*	sceneaction_blend
SCENE*	sceneaction_chapmarker
SCENE*	sceneaction_characterdiction
SCENE*	sceneaction_chnameexternal
SCENE*	sceneaction_chnameintro
SCENE*	sceneaction_chnamenointro
SCENE*	sceneaction_chnonameexternal
SCENE*	sceneaction_chnonameintro
SCENE*	sceneaction_chphoto
SCENE*	sceneaction_chportrait
SCENE*	sceneaction_cryptonym
SCENE*	sceneaction_cutaway
SCENE*	sceneaction_descriptor
SCENE*	sceneaction_descriptorq
SCENE*	sceneaction_dia
SCENE*	sceneaction_diacutaway
SCENE*	sceneaction_diainset1p
SCENE*	sceneaction_diam
SCENE*	sceneaction_diaother
SCENE*	sceneaction_diaq
SCENE*	sceneaction_doxaquotes
SCENE*	sceneaction_exclamation
SCENE*	sceneaction_fid
SCENE*	sceneaction_fidambig
SCENE*	sceneaction_fidquotes
SCENE*	sceneaction_graft
SCENE*	sceneaction_i
SCENE*	sceneaction_italicsother
SCENE*	sceneaction_m
SCENE*	sceneaction_metaphor
SCENE*	sceneaction_metaphore
SCENE*	sceneaction_monloguethought
SCENE*	sceneaction_monologue
SCENE*	sceneaction_monologuethought
SCENE*	sceneaction_quotedlit
SCENE*	sceneaction_quotedtext
SCENE*	sceneaction_quotesdoxa
SCENE*	sceneaction_quotesother
SCENE*	sceneaction_reader
SCENE*	sceneaction_reportedspeechquotes
SCENE*	sceneaction_rhetoricalq
SCENE*	sceneaction_sententia
SCENE*	sceneaction_song
SCENE*	sceneaction_speechimagined
SCENE*	sceneaction_trigger
SCENE*	sceneconsciousness
SCENE*	sceneconsciousness_fid
SCENE*	sceneconsciousness_i
SCENE*	scenedia
SCENE*	scenedia_arraivaldeparture
SCENE*	scenedia_arrivaldeparture
SCENE*	scenedia_authori
SCENE*	scenedia_authorwe
SCENE*	scenedia_backstory
SCENE*	scenedia_blend
SCENE*	scenedia_chapmarker
SCENE*	scenedia_chaptitle
SCENE*	scenedia_characterdictiion
SCENE*	scenedia_characterdiction
SCENE*	scenedia_chnameexternal
SCENE*	scenedia_chnameintro
SCENE*	scenedia_chnamenointro
SCENE*	scenedia_chnonameexternal
SCENE*	scenedia_chnonameintro
SCENE*	scenedia_chnonameminor
SCENE*	scenedia_cryptonym
SCENE*	scenedia_cutaway
SCENE*	scenedia_descriptor
SCENE*	scenedia_descriptorq
SCENE*	scenedia_dia
SCENE*	scenedia_diacutaway
SCENE*	scenedia_diainset1p
SCENE*	scenedia_diainsetinterruptiondia
SCENE*	scenedia_diainsetnarrative
SCENE*	scenedia_dialogueother
SCENE*	scenedia_diam
SCENE*	scenedia_diamparenthesis
SCENE*	scenedia_diaother
SCENE*	scenedia_diaq
SCENE*	scenedia_diatheater
SCENE*	scenedia_doxaquotes
SCENE*	scenedia_exclamation
SCENE*	scenedia_fid
SCENE*	scenedia_fidambig
SCENE*	scenedia_fiditalics
SCENE*	scenedia_fidquotes
SCENE*	scenedia_graft
